Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Norway,139.53,56.86,109.84,142.91,136.60,93.88
Switzerland,130.98,62.06,106.23,131.46,115.07,137.13
Denmark,119.67,53.94,96.07,99.00,140.32,93.26
Belgium,109.39,37.44,83.55,87.91,117.29,100.10
Australia,107.83,51.03,87.43,112.03,88.67,117.10
Ireland,107.11,52.85,87.63,110.88,100.12,92.23
Netherlands,105.69,43.33,83.30,63.98,106.42,100.29
France,101.17,42.70,80.18,83.38,96.59,80.84
Sweden,100.68,30.00,75.30,85.98,100.25,99.89
Finland,98.65,39.83,77.53,89.69,88.15,109.81
Japan,96.52,52.05,80.55,88.87,70.82,106.66
Italy,95.85,38.26,75.17,78.68,95.44,65.98
Austria,95.23,40.52,75.58,85.12,75.91,99.03
United Kingdom,93.80,43.72,75.82,87.89,92.82,98.03
Iceland,93.31,36.72,72.99,111.68,90.03,93.22
New Zealand,92.62,29.42,69.92,97.00,81.11,80.35
Cyprus,90.96,31.04,69.44,75.83,88.75,91.78
Greece,89.81,21.10,65.14,72.23,80.72,48.82
Canada,89.34,41.50,72.16,95.12,69.82,109.32
Singapore,88.79,84.87,87.38,88.24,52.70,82.54
Germany,87.19,32.60,67.59,75.29,70.10,118.49
Israel,82.87,33.54,65.16,73.01,73.42,84.28
Saudi Arabia,81.02,22.16,59.88,125.55,29.53,77.90
United Arab Emirates,80.10,74.65,78.14,59.32,97.06,109.26
Malta,78.23,23.96,58.74,68.25,65.95,92.33
Puerto Rico,77.06,29.18,59.87,69.96,61.51,93.90
Brazil,76.78,26.54,58.74,50.11,48.40,58.31
Morocco,76.43,25.83,58.26,69.25,41.36,26.86
United States,76.19,40.24,63.28,71.03,60.23,120.42
Spain,76.08,33.48,60.78,57.49,68.57,67.67
Portugal,73.09,30.58,57.82,51.64,51.45,53.62
Slovenia,72.57,33.04,58.37,62.09,57.78,64.22
Hong Kong,72.19,81.25,75.44,70.13,51.38,65.21
Latvia,70.89,19.88,52.57,49.80,76.53,36.23
Uruguay,70.35,20.12,52.31,62.02,52.39,44.52
Costa Rica,69.76,22.29,52.72,75.70,58.24,44.86
South Africa,69.19,27.31,54.15,59.27,50.02,86.44
Croatia,68.32,18.11,50.29,65.07,48.19,51.85
Lebanon,68.28,42.18,58.91,36.40,58.16,22.94
Azerbaijan,67.31,59.50,64.51,46.97,57.83,32.96
Dominican Republic,67.06,22.77,51.16,64.85,49.12,46.15
Russia,63.98,39.96,55.36,46.86,65.88,33.79
Venezuela,63.92,32.35,52.58,52.35,57.64,34.84
Jordan,61.96,19.90,46.86,59.24,41.41,34.82
Turkey,61.95,17.08,45.83,47.53,42.47,55.89
Lithuania,61.81,19.65,46.67,56.13,41.18,31.52
Hungary,61.49,16.52,45.34,52.39,42.96,38.04
Chile,61.19,16.78,45.24,46.87,47.41,61.18
Czech Republic,60.81,30.50,49.93,47.14,37.91,57.26
Slovakia,60.02,21.98,46.36,53.67,43.28,59.28
South Korea,59.97,31.10,49.60,66.77,50.18,118.68
Montenegro,59.51,22.92,46.37,44.84,48.93,27.65
Estonia,59.23,16.63,43.93,44.32,58.59,68.92
Armenia,58.68,25.86,46.89,27.57,47.41,17.43
Argentina,56.63,18.61,42.98,49.57,44.60,51.78
Taiwan,55.74,21.97,43.61,56.72,32.89,92.02
Bosnia And Herzegovina,55.41,8.18,38.45,49.84,34.92,38.63
Colombia,54.34,13.66,39.73,44.87,32.50,39.84
Bulgaria,52.10,14.31,38.53,40.12,36.80,34.96
Mexico,51.55,17.28,39.24,46.00,38.94,65.02
Egypt,51.31,22.42,40.94,48.36,37.70,17.66
Poland,51.21,19.47,39.81,39.70,38.66,62.83
Serbia,50.99,15.54,38.26,38.67,40.17,31.92
Syria,49.65,13.00,36.49,41.21,33.20,22.22
Ecuador,49.45,14.46,36.89,56.70,27.32,40.30
Indonesia,49.34,19.08,38.48,55.82,26.82,16.55
Belarus,47.89,15.89,36.40,35.85,60.13,25.99
Romania,47.68,13.65,35.46,40.09,35.22,33.36
Peru,46.90,17.50,36.34,50.00,32.66,42.80
Iran,46.13,29.58,40.19,49.57,32.52,54.81
Ukraine,45.14,17.42,35.19,29.85,41.17,29.51
Panama,45.01,18.99,35.67,38.56,32.21,70.09
Malaysia,44.84,11.55,32.88,40.52,23.53,86.55
Mongolia,44.38,18.54,35.10,55.97,27.63,34.65
China,43.42,20.29,35.12,46.78,25.42,27.43
Kenya,43.24,19.84,34.83,39.49,29.72,34.92
North Macedonia,41.82,10.05,30.41,35.05,28.77,38.35
Thailand,41.79,21.72,34.58,46.22,24.84,23.54
Philippines,39.08,9.71,28.53,33.92,19.16,37.94
Vietnam,39.06,32.29,36.63,36.15,24.01,51.08
Bolivia,37.41,15.21,29.44,28.32,23.36,50.50
Pakistan,30.96,7.82,22.65,28.10,20.16,30.35
India,30.27,9.04,22.65,28.88,18.29,62.82
